0.8,0.55,0.775 444.621
0.8,0.55,0.8 414.253
0.8,0.55,0.825 431.438
0.8,0.55,0.85 392.96
0.8,0.55,0.875 459.329
0.8,0.55,0.9 381.988
0.8,0.55,0.925 160.842
0.8,0.55,0.95 4.03846
0.8,0.575,0.525 4.06862
0.8,0.575,0.55 112.59
0.8,0.575,0.575 327.9
0.8,0.575,0.6 363.846
0.8,0.575,0.625 359.184
0.8,0.575,0.65 371.248
0.8,0.575,0.675 371.959
0.8,0.575,0.7 460.366
0.8,0.575,0.725 408.922
0.8,0.575,0.75 379.889
0.8,0.575,0.775 391.408
0.8,0.575,0.8 410.204
0.8,0.575,0.825 441.507
0.8,0.575,0.85 394.846
0.8,0.575,0.875 409.551
0.8,0.575,0.9 284.62
0.8,0.575,0.925 110.954
0.8,0.575,0.95 3.86517
0.8,0.6,0.525 0.715676
0.8,0.6,0.55 27.8725
0.8,0.6,0.575 199.985
0.8,0.6,0.6 341.036
0.8,0.6,0.625 353.259
0.8,0.6,0.65 398.924
0.8,0.6,0.675 364.85
0.8,0.6,0.7 419.039
0.8,0.6,0.725 420.207
0.8,0.6,0.75 383.035
0.8,0.6,0.775 371.258
0.8,0.6,0.8 367.522
0.8,0.6,0.825 422.691
0.8,0.6,0.85 370.143
0.8,0.6,0.875 329.199
0.8,0.6,0.9 153.824
0.8,0.6,0.925 19.8234
0.8,0.6,0.95 0.553068
0.8,0.625,0.55 2.4668
0.8,0.625,0.575 48.3027
0.8,0.625,0.6 197.716
0.8,0.625,0.625 349.494
0.8,0.625,0.65 409.13
0.8,0.625,0.675 392.293
0.8,0.625,0.7 406.47
0.8,0.625,0.725 436.071
0.8,0.625,0.75 375.828
0.8,0.625,0.775 426.546
0.8,0.625,0.8 429.707
0.8,0.625,0.825 393.367
0.8,0.625,0.85 342.563
0.8,0.625,0.875 187.677
0.8,0.625,0.9 29.9196
0.8,0.625,0.925 0.82873
0.8,0.65,0.55 0.230465
0.8,0.65,0.575 5.14446
0.8,0.65,0.6 41.6305
0.8,0.65,0.625 186.828
0.8,0.65,0.65 334.62
0.8,0.65,0.675 387.892
0.8,0.65,0.7 397.546
0.8,0.65,0.725 413.591
0.8,0.65,0.75 390.174
0.8,0.65,0.775 404.249
0.8,0.65,0.8 398.143
0.8,0.65,0.825 333.566
