0.8,0.5,0.85 391.696
0.8,0.5,0.875 393.845
0.8,0.5,0.9 354.726
0.8,0.5,0.925 119.603
0.8,0.5,0.95 3.67889
0.8,0.5,0.975 0.0746195
0.8,0.525,0.5 0.0337403
0.8,0.525,0.525 26.0626
0.8,0.525,0.55 288.783
0.8,0.525,0.575 424.869
0.8,0.525,0.6 384.781
0.8,0.525,0.625 359.567
0.8,0.525,0.65 413.386
0.8,0.525,0.675 355.381
0.8,0.525,0.7 405.832
0.8,0.525,0.725 415.93
0.8,0.525,0.75 422.059
0.8,0.525,0.775 400.108
0.8,0.525,0.8 395.578
0.8,0.525,0.825 403.976
0.8,0.525,0.85 396.949
0.8,0.525,0.875 422.356
0.8,0.525,0.9 393.501
0.8,0.525,0.925 137.522
0.8,0.525,0.95 1.75296
0.8,0.525,0.975 0.011278
0.8,0.55,0.525 18.9481
0.8,0.55,0.55 229.694
0.8,0.55,0.575 382.183
0.8,0.55,0.6 415.005
0.8,0.55,0.625 426.917
0.8,0.55,0.65 440.318
0.8,0.55,0.675 387.356
0.8,0.55,0.7 422.911
0.8,0.55,0.725 387.132
0.8,0.55,0.75 433.138
0.8,0.55,0.775 435.49
0.8,0.55,0.8 406.887
0.8,0.55,0.825 422.021
0.8,0.55,0.85 401.891
0.8,0.55,0.875 455.519
0.8,0.55,0.9 385.658
0.8,0.55,0.925 135.968
0.8,0.55,0.95 1.65122
0.8,0.575,0.525 19.3085
0.8,0.575,0.55 200.204
0.8,0.575,0.575 372.91
0.8,0.575,0.6 410.992
0.8,0.575,0.625 393.809
0.8,0.575,0.65 397.969
0.8,0.575,0.675 392.889
0.8,0.575,0.7 460.269
0.8,0.575,0.725 400.095
0.8,0.575,0.75 367.774
0.8,0.575,0.775 415.378
0.8,0.575,0.8 445.096
0.8,0.575,0.825 457.79
0.8,0.575,0.85 411.522
0.8,0.575,0.875 416.743
0.8,0.575,0.9 298.02
0.8,0.575,0.925 101.554
0.8,0.575,0.95 1.3383
0.8,0.6,0.525 3.55368
0.8,0.6,0.55 48.5331
0.8,0.6,0.575 225.085
0.8,0.6,0.6 373.81
0.8,0.6,0.625 385.172
0.8,0.6,0.65 413.393
0.8,0.6,0.675 360.502
0.8,0.6,0.7 413.436
0.8,0.6,0.725 433.351
0.8,0.6,0.75 385.837
0.8,0.6,0.775 412.696
0.8,0.6,0.8 406.61
0.8,0.6,0.825 455.24
0.8,0.6,0.85 375.367
0.8,0.6,0.875 314.112
0.8,0.6,0.9 135.121
0.8,0.6,0.925 16.9241
0.8,0.6,0.95 0.199474
0.8,0.625,0.55 12.4791
0.8,0.625,0.575 130.022
0.8,0.625,0.6 284.209
0.8,0.625,0.625 386.496
0.8,0.625,0.65 416.915
0.8,0.625,0.675 389.819
0.8,0.625,0.7 389.684
0.8,0.625,0.725 450.419
0.8,0.625,0.75 386.353
0.8,0.625,0.775 413.131
0.8,0.625,0.8 404.841
0.8,0.625,0.825 442.261
0.8,0.625,0.85 377.166
0.8,0.625,0.875 210.614
0.8,0.625,0.9 54.7803
0.8,0.625,0.925 0.581563
0.8,0.65,0.55 1.93072
0.8,0.65,0.575 22.9899
0.8,0.65,0.6 114.407
0.8,0.65,0.625 255.397
0.8,0.65,0.65 361.8
0.8,0.65,0.675 378.925
0.8,0.65,0.7 394.492
0.8,0.65,0.725 431.16
0.8,0.65,0.75 426.049
0.8,0.65,0.775 434.202
0.8,0.65,0.8 396.25
0.8,0.65,0.825 336.672
0.8,0.65,0.85 225.06
0.8,0.65,0.875 69.2017
0.8,0.65,0.9 6.67169
0.8,0.65,0.925 0.0544644
0.8,0.675,0.575 0.610974
0.8,0.675,0.6 12.8809
0.8,0.675,0.625 50.4628
0.8,0.675,0.65 209.052
0.8,0.675,0.675 325.288
0.8,0.675,0.7 347.271
0.8,0.675,0.725 322.204
0.8,0.675,0.75 332.037
0.8,0.675,0.775 338.082
0.8,0.675,0.8 264.002
0.8,0.675,0.825 116.891
0.8,0.675,0.85 24.9834
0.8,0.675,0.875 4.78862
0.8,0.675,0.9 0.0361025
0.8,0.7,0.625 1.87547
0.8,0.7,0.65 22.8475
0.8,0.7,0.675 51.2809
0.8,0.7,0.7 59.8825
0.8,0.7,0.725 53.0429
0.8,0.7,0.75 48.5176
0.8,0.7,0.775 46.7134
0.8,0.7,0.8 36.1163
0.8,0.7,0.825 11.7493
0.8,0.7,0.85 0.160794
0.8,0.725,0.7 0.0768742
0.8,0.725,0.725 0.839394
0.8,0.725,0.75 0.516842
0.8,0.725,0.775 0.00756926
0.825,0.275,0.625 0.0218444
0.825,0.275,0.65 0.360953
0.825,0.275,0.675 0.791613
0.825,0.275,0.7 0.887285
0.825,0.275,0.725 0.35745
0.825,0.275,0.75 0.0951315
0.825,0.275,0.775 0.416637
0.825,0.275,0.8 0.513525
0.825,0.275,0.825 0.218721
0.825,0.275,0.85 0.00481249
0.825,0.3,0.575 8.28984e-06
0.825,0.3,0.6 0.0405244
0.825,0.3,0.625 3.15505
0.825,0.3,0.65 45.5512
0.825,0.3,0.675 110.611
0.825,0.3,0.7 137.067
0.825,0.3,0.725 103.9
0.825,0.3,0.75 88.8173
0.825,0.3,0.775 88.2735
0.825,0.3,0.8 71.7721
0.825,0.3,0.825 27.071
0.825,0.3,0.85 0.84056
0.825,0.3,0.875 0.00506863
0.825,0.3,0.9 4.99586e-05
